Phytoplankton Monitoring Programme results,,,,,,,,,,,,,
Sample number,Production area,Bed ID,Local authority,Grid            ,Sampling point,Date sample collected,"Alexandrium spp. 
cells L-1
(PSP)","Dinophysiaceae 
cells L-1
(DSP)","Prorocentrum lima 
cells L-1
(DSP)","Pseudo-nitzschia spp. 
cells L-1
(ASP) ","Ligulodinium polyedrum 
cells L-1
(Yessotoxin)","Protoceratium reticulatum 
cells L-1
(Yessotoxin) ","Prorocentrum cordatum 
cells L-1
(Venerupin) "
94/22,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,2/13/2022,ND,ND,ND,ND,ND,ND,ND
95/22,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2/13/2022,ND,ND,ND,ND,ND,ND,ND
96/22,Roach,B73AF,London PHA,TQ94909207,Paglesham,2/14/2022,ND,ND,ND,ND,ND,ND,ND
97/22,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2/14/2022,ND,ND,ND,ND,ND,ND,ND
98/22,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,2/15/2022,ND,ND,ND,ND,ND,ND,ND
99/22,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2/15/2022,ND,ND,ND,ND,ND,ND,ND
100/22,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2/16/2022,ND,ND,ND,ND,ND,ND,ND
101/22,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,2/15/2022,ND,ND,ND,ND,ND,ND,ND
102/22,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2/16/2022,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment"
103/22,Dart,B028P,South Hams DC,SX87945350,Long Wood South,2/17/2022,ND,ND,ND,ND,ND,ND,ND
104/22,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,2/17/2022,ND,ND,ND,ND,ND,ND,ND
105/22,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2/21/2022,ND,ND,ND,ND,ND,ND,ND
106/22,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2/22/2022,ND,ND,ND,ND,ND,ND,ND
107/22,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2/22/2022,ND,ND,ND,ND,ND,ND,ND
108/22,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2/23/2022,ND,ND,ND,ND,ND,ND,ND
109/22,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,2/23/2022,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment"
,,,,,,,,,,,,,
Note,,,,,,,,,,,,,
1 = Information relating to the origin of samples (location & date of collection) is as provided by third parties and has not been verified by Cefas.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Key,,,,,,,,,,,,,
The trigger levels for phytoplankton samples are as follows (breach of these levels leads to requests for additional flesh and water samples):,,,,,,,,,,,,,
Alexandrium spp. (PSP) - 40 cells/litre,,,,,,,,,,,,,
Dinophysiaceae/Prorocentrum lima (DSP) - 100 cells/litre,,,,,,,,,,,,,
"Pseudo-nitzschia spp. (ASP) - 150,000 cells/litre",,,,,,,,,,,,,
Phytoplankton cell count ≥ trigger Level,,,,,,,,,,,,,
Unsuitable sample,,,,,,,,,,,,,
